bikes,bike_stands,temp_c,feelslike_c,wind_kph,humidity,precip_mm,gust_kph,wind_degree,pressure_mb,cloud,uv
1,31,5.8,2.6,16.5,78.28,0.0,13.3,40,1042.5,89.1,0
1,31,5.5,2.6,13.5,78.79,0.0,12.6,50,1042.4,92.2,0
1,30,5.8,3.4,11.1,79.59,0.0,10.4,53,1042.4,92.2,0
0,31,5.7,3.0,12.5,80.6,0.0,4.7,40,1042.4,92.2,0
0,31,5.7,3.3,10.7,76.67,0.0,5.0,28,1042.0,92.2,0
0,31,5.1,2.3,12.4,80.29,0.0,5.4,35,1041.6,92.2,0
0,31,5.1,3.1,8.7,79.2,0.0,7.6,49,1041.4,92.2,0
0,31,5.0,2.7,10.4,80.59,0.0,8.6,40,1041.0,92.2,0
0,31,5.0,2.2,12.9,81.19,0.0,8.6,47,1040.6,92.2,0
2,29,5.0,2.0,13.7,83.15,0.0,7.6,47,1040.4,92.2,0
7,25,5.0,2.6,10.7,83.15,0.0,6.8,53,1040.3,92.2,0
11,21,4.9,2.0,12.7,82.23,0.0,5.8,48,1040.1,92.2,0
11,19,4.1,1.0,12.9,83.06,0.0,5.0,7,1040.1,92.2,0
21,9,3.7,0.4,13.7,83.22,0.0,5.0,2,1040.1,92.2,0
26,5,3.4,0.6,10.7,83.95,0.0,7.2,352,1039.6,100.0,0
23,9,3.8,1.3,9.6,81.69,0.0,13.3,337,1039.3,100.0,0
9,22,3.9,0.8,12.7,81.32,0.0,13.0,340,1038.4,100.0,0
11,21,4.0,1.6,9.3,81.26,0.0,11.5,335,1037.4,100.0,0
10,22,3.9,1.3,9.9,81.16,0.0,13.7,339,1037.1,100.0,0
8,23,3.1,-0.1,11.9,85.4,0.0,13.7,346,1037.1,100.0,0
11,20,2.8,-0.5,12.7,83.02,0.0,13.0,337,1036.6,100.0,0
13,18,2.3,-0.7,11.0,83.91,0.0,13.0,337,1036.4,100.0,0
10,22,1.9,-1.2,10.7,85.86,0.0,14.0,321,1035.6,100.0,0
9,22,1.9,-1.2,10.7,86.18,0.0,14.4,320,1035.5,100.0,0
12,20,1.8,-1.8,12.9,85.28,0.0,16.2,312,1035.4,100.0,0
